Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Agency Description,Color Description,Body Style Description
4271997693,12/30/2015,1239,,,CA,201604,,TOYT,PA,BL,9401 GLENOAKS BLVD,00394,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4271997741,12/30/2015,1620,,,CA,201608,,TOYT,PA,BL,9343 GLENOAKS BLVD,00394,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274390411,12/30/2015,1724,,,CA,201603,,GMC,PU,WT,7300 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444415.4,,,
4274334050,12/31/2015,1841,,,CA,201603,,CHEV,PA,BK,7521 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444421,,,
4274334131,12/31/2015,2118,,,CA,201602,,TOYT,VN,WT,7350 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444416.7,,,
4273893886,01/03/2016,822,,,CA,201506,,DODG,PA,GN,1000 MAIN ST,00209,51,21211B,BLK BIKE PATH OR LAN,93,6418076.4,,,
4273893890,01/03/2016,827,,,CA,201602,,FORD,PA,GY,1107 MAIN ST,00209,51,21211B,BLK BIKE PATH OR LAN,93,6418186.6,,,
4273893901,01/03/2016,829,,,CA,201702,,OTHR,MH,WT,1108 MAIN ST,00209,51,21211B,BLK BIKE PATH OR LAN,93,6418194.5,,,
4274572061,01/03/2016,1602,,,CA,201604,,NISS,PA,WT,12386 CHANDLER BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4274572072,01/03/2016,1605,,,CA,201601,,TOYT,PA,GY,12364 CHANDLER BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,99999,,,
4273423265,01/04/2016,1610,,,CA,201609,,ACUR,PA,WT,7514 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444420.8,,,
4273423324,01/04/2016,1816,,,CA,201604,,HOND,PA,SL,7532 LANKERSHIM BOULEVARD,00316,53,21211B,BLK BIKE PATH OR LAN,93,6444421.3,,,
4273543271,01/04/2016,1043,,,CA,201602,,FORD,PU,WT,1242 MAIN ST S,00685,56,21211B,BLK BIKE PATH OR LAN,93,6482959.4,,,
4273897095,01/04/2016,1322,,,CA,201612,,AUDI,PA,WT,11726 SAN VICENTE BLVD,00186,51,21211B,BLK BIKE PATH OR LAN,93,6419384.5,,,
4274307612,01/05/2016,2127,,,CA,2,,HOND,PA,WT,7300 LANKERSHIM BOULEVARD,00315,53,21211B,BLK BIKE PATH OR LAN,93,6444415.4,,,
